name,arm,species,variables,verdict,reason,C1,C2,C3a,C3b,C4,C5,C6,C7,has_phase_contrast,has_published_stats,source,evidence
Helissen 2023 HLU 마우스 텔레메트리,지상 언로딩,마우스,"활동량, 피하온도, 심부온도, 심박, 혈압",PASS,전 기준 충족,True,True,True,True,True,True,True,True,True,True,Life 13:844 / doi:10.57745/QVRW8W,"2h bin x 10-11일 연속, 개체별(implant ID). 대조 3일 / HU 5일 / 회복 2일. LD 12:12(07-19시 점등). Etalab 2.0 오픈. 파일 4개 실제 다운로드 완료. 2020/2021 은 피하온도+활동+혈압(각 n=5), 2022 는 심부온도+활동(n=6)"
HLU 쥐 5군 분해 (사회격리/구속/언로딩),지상 언로딩,쥐,"활동량, 체온, 혈압, 심박",LITERATURE,C6 원자료 비공개 — 논문 보고 수치만 사용,True,True,True,True,True,True,False,True,True,True,PMC3388052,"30분 평균 연속, 3일 baseline + 14일, LD 12:12. 5군(쌍사육/개별대조/언로딩케이지 개별/수평구속/HDT거상)으로 스트레스 성분을 분해한 유일한 설계. 원자료 공개 진술 없음. 논문에 리듬 기술 수치 있음"
HLU 마우스 종단 에소그램,지상 언로딩,마우스,행동 범주 7종,REJECT,"C6 접근 불가, 보고 수치도 없음",True,False,False,False,True,True,False,True,False,False,PMC12842622,관찰이 오후 1-5시에만 이뤄졌고 일주기 분석을 수행하지 않았다고 원문에 명시. 원자료는 요청 시 제공
60일 6도 HDBR 심부체온 (BBR2-2 + Cocktail),지상 언로딩,인간,심부체온,CONDITIONAL,미충족: C3b,True,True,True,False,True,True,True,True,True,True,doi:10.6084/m9.figshare.13633790,"3주차·8주차에 각 32시간 연속(6분 간격 320점), 13명(BBR2-2 n=5, Cocktail n=8), 개체별 열, 자기대조(w3 vs w8). CC BY 4.0. 실제 다운로드 완료. 7일 연속 기록은 없어 위상 '추이'는 불가"
AGBRESA 60일 HDBR + 단완 원심분리 (수면),인공중력 되돌림,인간,PSG (EEG/ECG/EMG/EOG),REJECT,"C6 접근 불가, 보고 수치도 없음",True,False,False,False,True,True,False,True,False,False,npj Microgravity 10 (PMC11621691),지상 아날로그에 중력을 되돌려 넣은 유일한 통제 실험(대조/연속AG/간헐AG 각 n=8). 그러나 PSG 를 8개 야간에만 측정했고 연속 다일 기록도 actigraphy 도 없다. 원문에 일주기 위상·진폭·acrophase 보고가 없다. 원자료는 요청 시 제공
Martin 2020 2G 전정자극 재동조,지상 과중력,쥐,"심부체온, 활동량",LITERATURE,C6 원자료 비공개 — 논문 보고 수치만 사용,True,True,True,True,True,True,False,True,True,True,Sci Rep 10:8646 (PMC7280278),"복강 telemetry 로 6일 baseline + 실험기간 연속 기록. sham n=24 / 양측전정손실 n=24. 2G 1시간 펄스를 매일 7회. LD 6시간 전진 후 재동조 속도 측정. 재동조 16.0+-3.1일(2G) vs 20.4+-0.8일(LD만), p=0.002. 원자료는 요청 시 제공"
Fuller 만성 원심분리(2G) 쥐 일주기 교란,지상 과중력,쥐,"심부체온, 활동량",LITERATURE,C6 원자료 비공개 — 논문 보고 수치만 사용,True,True,True,True,True,True,False,True,True,True,J Appl Physiol (Fuller 1994 계열),2G 노출 초기 7-10일간 활동 리듬 소실·체온 진폭 감소 후 회복. 1990년대 연구로 원자료 공개 없음. 논문 보고 수치만
OSD-952 / LSDS-168 RR-1 ISS 행동 에소그램,실제 비행,마우스,행동 8범주 (DeepEthogram),DIRECTION_ONLY,"미충족: C2,C3a,C3b,C4,C5",True,False,False,False,False,False,True,True,True,True,OSDR OSD-952,"미세중력에서 리듬을 직접 측정한 유일한 공개 데이터. Day 0-32, 고유 프레임 1,175,486. 그러나 Day별 Light/Dark 2점뿐이라 하루 4점 미달, 케이지 단위(개체 식별 불가), 비행 전 baseline 없음. Dark 0.931 vs Light 0.455 로 명암 대비는 존재"
OSD-595 / LSDS-42 MVP 초파리 (궤도 uG vs 궤도 1G),실제 비행 (중력만 분리),초파리,활동량 (최대투영 강도),LEVEL_ONLY,"24h 커버리지 없음 — 리듬 축 제외, 활동량 수준 축만",True,False,True,True,True,True,True,True,False,True,OSDR OSD-595 / Cell Rep 40:111279,"같은 habitat 안 두 원심기(68rpm=1G vs 2.2rpm=0.00095G)라 방사선·격리·발사·온도가 양쪽 동일 -> 공개 자료 중 중력만 분리되는 유일한 설계. 16일(mission day 13-28) x 하루 6점 x 11모듈(1G 6 / uG 5), 결측 0. LD 12:12. 그러나 원문이 '6 videos per day spanned the 12-hr light period' 이고 암기 녹화는 적외선 고장으로 미실시 -> 24h 커버리지 없음. 리듬 축 사용 불가"
OSD-596 / LSDS-43 MVP 초파리 climbing,실제 비행,초파리,climbing 성공률,REJECT,"미충족: C2,C3a,C3b",True,False,False,False,True,True,True,True,False,False,OSDR OSD-596,착륙 후 단일 시점 행동검사. 시계열 아님
